,Date,ReportPeriod,Ticker,Fund,Change
157,2022-10-03,2022-09-30,AMADY,PARK NATIONAL CORP /OH/,-139.0800018311
158,2022-10-03,2022-09-30,BA,PARK NATIONAL CORP /OH/,83181.9612579346
159,2022-10-03,2022-09-30,AZN,PARK NATIONAL CORP /OH/,-58569.1201629639
160,2022-10-03,2022-09-30,AXP,PARK NATIONAL CORP /OH/,-105904.352874756
161,2022-10-03,2022-09-30,AVGO,PARK NATIONAL CORP /OH/,-82585.8618164062
162,2022-10-03,2022-09-30,AUY,PARK NATIONAL CORP /OH/,0.0
163,2022-10-03,2022-09-30,ATLKY,PARK NATIONAL CORP /OH/,129.0800037384
164,2022-10-03,2022-09-30,ASML,PARK NATIONAL CORP /OH/,-3738.1500549316
165,2022-10-03,2022-09-30,CSX,PARK NATIONAL CORP /OH/,-935250.458572388
166,2022-10-03,2022-09-30,APD,PARK NATIONAL CORP /OH/,31185.8194274902
167,2022-10-03,2022-09-30,ANTM,PARK NATIONAL CORP /OH/,
168,2022-10-03,2022-09-30,ANDC,PARK NATIONAL CORP /OH/,497000.0
169,2022-10-03,2022-09-30,AMZN,PARK NATIONAL CORP /OH/,216960.0
170,2022-10-03,2022-09-30,AMT,PARK NATIONAL CORP /OH/,-20181.7997131348
171,2022-10-03,2022-09-30,AMP,PARK NATIONAL CORP /OH/,-251.9499969482
172,2022-10-03,2022-09-30,AMGN,PARK NATIONAL CORP /OH/,-86102.797668457
173,2022-10-03,2022-09-30,AMD,PARK NATIONAL CORP /OH/,354435.843414307
174,2022-10-03,2022-09-30,AON,PARK NATIONAL CORP /OH/,267.8699951172
175,2022-10-03,2022-09-30,CTAS,PARK NATIONAL CORP /OH/,-58228.5003662109
176,2022-10-03,2022-09-30,CVS,PARK NATIONAL CORP /OH/,469506.523521423
177,2022-10-03,2022-09-30,GPC,PARK NATIONAL CORP /OH/,-350304.737182617
178,2022-10-03,2022-09-30,GOOGL,PARK NATIONAL CORP /OH/,33406432.5829239
179,2022-10-03,2022-09-30,GOOG,PARK NATIONAL CORP /OH/,1191106.21890259
180,2022-10-03,2022-09-30,GM,PARK NATIONAL CORP /OH/,-30742.2201461792
181,2022-10-03,2022-09-30,GLW,PARK NATIONAL CORP /OH/,-6935.7801094055
182,2022-10-03,2022-09-30,GLD,PARK NATIONAL CORP /OH/,0.0
183,2022-10-03,2022-09-30,GILD,PARK NATIONAL CORP /OH/,0.0
184,2022-10-03,2022-09-30,GDX,PARK NATIONAL CORP /OH/,-52943.4018421173
185,2022-10-03,2022-09-30,GD,PARK NATIONAL CORP /OH/,-247602.387863159
186,2022-10-03,2022-09-30,FYX,PARK NATIONAL CORP /OH/,213331.137313843
187,2022-10-03,2022-09-30,FVD,PARK NATIONAL CORP /OH/,261231.216682434
188,2022-10-03,2022-09-30,FTSM,PARK NATIONAL CORP /OH/,1345080.99308014
189,2022-10-03,2022-09-30,FTCS,PARK NATIONAL CORP /OH/,968137.893310547
190,2022-10-03,2022-09-30,FRME,PARK NATIONAL CORP /OH/,0.0
191,2022-10-03,2022-09-30,GQRE,PARK NATIONAL CORP /OH/,-12422.3200378418
192,2022-10-03,2022-09-30,FPE,PARK NATIONAL CORP /OH/,-2871581.8311882
193,2022-10-03,2022-09-30,GRC,PARK NATIONAL CORP /OH/,52790.0120315552
194,2022-10-03,2022-09-30,ING,PARK NATIONAL CORP /OH/,85510.0
195,2022-10-03,2022-09-30,ICE,PARK NATIONAL CORP /OH/,39031.1993408203
196,2022-10-03,2022-09-30,IBM,PARK NATIONAL CORP /OH/,-101226.117919922
197,2022-10-03,2022-09-30,HYLS,PARK NATIONAL CORP /OH/,-1125266.79103851
198,2022-10-03,2022-09-30,HRB,PARK NATIONAL CORP /OH/,0.0
199,2022-10-03,2022-09-30,HON,PARK NATIONAL CORP /OH/,-782755.365722656
200,2022-10-03,2022-09-30,HLFN,PARK NATIONAL CORP /OH/,0.0
201,2022-10-03,2022-09-30,HD,PARK NATIONAL CORP /OH/,-300774.602661133
202,2022-10-03,2022-09-30,HCA,PARK NATIONAL CORP /OH/,421246.664611816
203,2022-10-03,2022-09-30,HBAN,PARK NATIONAL CORP /OH/,166647.923858643
204,2022-10-03,2022-09-30,HAL,PARK NATIONAL CORP /OH/,754159.865707397
205,2022-10-03,2022-09-30,GUNR,PARK NATIONAL CORP /OH/,-467769.961898804
206,2022-10-03,2022-09-30,FNX,PARK NATIONAL CORP /OH/,-9231.0496139526
207,2022-10-03,2022-09-30,ECL,PARK NATIONAL CORP /OH/,6498.8999176025
208,2022-10-03,2022-09-30,DVY,PARK NATIONAL CORP /OH/,-71730.1808166504
209,2022-10-03,2022-09-30,DUK,PARK NATIONAL CORP /OH/,-14511.1194763184
210,2022-10-03,2022-09-30,DTE,PARK NATIONAL CORP /OH/,-1495.6500396728
211,2022-10-03,2022-09-30,DOW,PARK NATIONAL CORP /OH/,57021.1403961182
212,2022-10-03,2022-09-30,DIS,PARK NATIONAL CORP /OH/,-1666999.7923584
213,2022-10-03,2022-09-30,DHR,PARK NATIONAL CORP /OH/,-1291.4500427246
214,2022-10-03,2022-09-30,DHI,PARK NATIONAL CORP /OH/,-260038.344108582
215,2022-10-03,2022-09-30,DG,PARK NATIONAL CORP /OH/,-439851.775512695
216,2022-10-03,2022-09-30,DFS,PARK NATIONAL CORP /OH/,-1454.7199707031
217,2022-10-03,2022-09-30,DE,PARK NATIONAL CORP /OH/,-106177.024658203
218,2022-10-03,2022-09-30,DD,PARK NATIONAL CORP /OH/,-1108.8000335693
219,2022-10-03,2022-09-30,DAL,PARK NATIONAL CORP /OH/,0.0
220,2022-10-03,2022-09-30,D,PARK NATIONAL CORP /OH/,-691.1000061035
221,2022-10-03,2022-09-30,EFA,PARK NATIONAL CORP /OH/,42231.538734436
222,2022-10-03,2022-09-30,EFX,PARK NATIONAL CORP /OH/,240001.989746094
223,2022-10-03,2022-09-30,EL,PARK NATIONAL CORP /OH/,827976.476593018
224,2022-10-03,2022-09-30,EMLP,PARK NATIONAL CORP /OH/,263255.271120071
225,2022-10-03,2022-09-30,FITB,PARK NATIONAL CORP /OH/,-30649.6391220093
226,2022-10-03,2022-09-30,FGD,PARK NATIONAL CORP /OH/,-397868.419647217
227,2022-10-03,2022-09-30,FEX,PARK NATIONAL CORP /OH/,-21666.0003662109
228,2022-10-03,2022-09-30,FB,PARK NATIONAL CORP /OH/,
229,2022-10-03,2022-09-30,FAST,PARK NATIONAL CORP /OH/,0.0
230,2022-10-03,2022-09-30,CTVA,PARK NATIONAL CORP /OH/,7600.9502029419
231,2022-10-03,2022-09-30,FANH,PARK NATIONAL CORP /OH/,0.0
232,2022-10-03,2022-09-30,EXPGY,PARK NATIONAL CORP /OH/,321.8600025177
233,2022-10-03,2022-09-30,ETN,PARK NATIONAL CORP /OH/,-10135.3600463867
234,2022-10-03,2022-09-30,EPAM,PARK NATIONAL CORP /OH/,218400.571472168
235,2022-10-03,2022-09-30,EMR,PARK NATIONAL CORP /OH/,-805053.913421631
236,2022-10-03,2022-09-30,F,PARK NATIONAL CORP /OH/,-97003.1983480453
237,2022-10-03,2022-09-30,ZTS,PARK NATIONAL CORP /OH/,258469.458297729
