,Ticker,Followers,pct_change_day,pct_change_week,pct_change_month,Date
1268,NI,1729,0.0578703704,0.0578703704,-0.2883506344,2022-10-08T00:00:00.000Z
1269,BHVN,1724,0.2325581395,,,2022-10-08T00:00:00.000Z
1270,WPC,1714,0.0,0.2339181287,0.3512880562,2022-10-08T00:00:00.000Z
1271,WWD,1699,0.0,0.0,0.0588928151,2022-10-08T00:00:00.000Z
1272,AVXL,1693,-0.0590318772,-0.1179941003,0.0591016548,2022-10-08T00:00:00.000Z
1273,LILAK,1692,-0.0590667454,0.1183431953,0.8343265793,2022-10-08T00:00:00.000Z
1274,LSTA,1692,0.0,-0.0590667454,,2022-10-08T00:00:00.000Z
1275,AGI,1690,0.0592066311,0.296735905,0.7151370679,2022-10-08T00:00:00.000Z
1276,OGN,1685,0.118835413,1.0191846523,4.2698019802,2022-10-08T00:00:00.000Z
1277,IBRX,1680,0.0595592615,0.1788908766,1.7565112053,2022-10-08T00:00:00.000Z
1278,LYTS,1674,0.0,0.0,0.1196172249,2022-10-08T00:00:00.000Z
1279,UGI,1673,0.0,0.0,0.0,2022-10-08T00:00:00.000Z
1280,MRCY,1668,0.0,0.0599880024,0.3610108303,2022-10-08T00:00:00.000Z
1281,MG,1666,-0.0599880024,0.0600600601,0.482509047,2022-10-08T00:00:00.000Z
1282,SPRO,1660,0.0,0.3627569528,1.1578305911,2022-10-08T00:00:00.000Z
1283,MWA,1657,0.0,-0.0603136309,0.0,2022-10-08T00:00:00.000Z
1284,PXD,1656,-0.0603500302,0.2421307506,1.7199017199,2022-10-08T00:00:00.000Z
1285,AVD,1651,0.0,0.0606060606,-0.0605326877,2022-10-08T00:00:00.000Z
1286,CRS,1649,0.0,0.0606796117,0.365185636,2022-10-08T00:00:00.000Z
1287,AQUA,1644,0.0,0.243902439,0.6736068585,2022-10-08T00:00:00.000Z
1288,ORMP,1640,-0.0609384522,-0.1218026797,0.2444987775,2022-10-08T00:00:00.000Z
1289,MXF,1636,0.1223990208,0.0611620795,0.3065603924,2022-10-08T00:00:00.000Z
1290,SLG,1633,0.0,0.5541871921,1.3027295285,2022-10-08T00:00:00.000Z
1291,FFIV,1630,0.0,-0.0613120785,-0.3667481663,2022-10-08T00:00:00.000Z
1292,FLNT,1620,0.0,0.0,0.4339739616,2022-10-08T00:00:00.000Z
1293,PHR,1606,0.1246882793,0.062305296,0.4377736085,2022-10-08T00:00:00.000Z
1294,SCKT,1599,0.0625782228,-0.0625,0.1879699248,2022-10-08T00:00:00.000Z
1295,OMEX,1598,-0.0625390869,-0.0625390869,-0.2496878901,2022-10-08T00:00:00.000Z
1296,DXPE,1582,0.0,0.1265822785,0.5082592122,2022-10-08T00:00:00.000Z
1297,TITN,1579,0.0,0.1903553299,1.0236724248,2022-10-08T00:00:00.000Z
1298,SJI,1575,0.0,0.1271455817,0.254614895,2022-10-08T00:00:00.000Z
1299,WSFS,1575,0.0635324015,0.5747126437,0.5105296745,2022-10-08T00:00:00.000Z
1300,CAMP,1569,-0.1273074475,-0.1273074475,0.0637755102,2022-10-08T00:00:00.000Z
1301,KTB,1565,-0.0638569604,0.1920614597,1.0981912145,2022-10-08T00:00:00.000Z
