,Ticker,Weekly Views,pct_change_week,pct_change_month,Date
217,HPQ,1975.0,-64.5421903052,-57.1954919809,2022-10-10T00:00:00.000Z
218,HUBS,1961.0,-59.8073375692,-60.6777621817,2022-10-10T00:00:00.000Z
219,EVOP,1957.0,-61.6875489428,-51.1482775836,2022-10-10T00:00:00.000Z
220,DLTH,1956.0,-58.9851121828,-61.952927446,2022-10-10T00:00:00.000Z
221,S,1952.0,-57.2492334647,-52.6098567613,2022-10-10T00:00:00.000Z
222,CANO,1949.0,-59.6396769517,-57.5473752995,2022-10-10T00:00:00.000Z
223,ASAN,1935.0,-54.2553191489,-67.8143712575,2022-10-10T00:00:00.000Z
224,NYT,1925.0,-54.727187206,-63.4099980992,2022-10-10T00:00:00.000Z
225,TNC,1924.0,-68.4590163934,-40.2113113735,2022-10-10T00:00:00.000Z
226,CSCO,1913.0,-60.1955888473,16.3625304136,2022-10-10T00:00:00.000Z
227,XRX,1909.0,-63.1964526701,-57.3788792141,2022-10-10T00:00:00.000Z
228,TRI,1908.0,-59.8061933853,-56.2886597938,2022-10-10T00:00:00.000Z
229,OXY,1903.0,-61.7179641923,-83.5123895339,2022-10-10T00:00:00.000Z
230,CNC,1892.0,-47.8500551268,-54.9201810817,2022-10-10T00:00:00.000Z
231,CHGG,1892.0,-54.562920269,-45.0479233227,2022-10-10T00:00:00.000Z
232,LHX,1891.0,-50.7423808283,-45.6140350877,2022-10-10T00:00:00.000Z
233,CNXC,1883.0,-73.2680295287,-61.7198617605,2022-10-10T00:00:00.000Z
234,RL,1865.0,-60.2175767918,-57.3909070139,2022-10-10T00:00:00.000Z
235,BAH,1839.0,-72.4411808782,-57.1727992548,2022-10-10T00:00:00.000Z
236,HLAH,1839.0,-72.4411808782,-57.1727992548,2022-10-10T00:00:00.000Z
237,HLNE,1839.0,-72.4411808782,-57.1727992548,2022-10-10T00:00:00.000Z
238,CBRL,1837.0,-63.7958218368,-57.7992189295,2022-10-10T00:00:00.000Z
239,IAC,1813.0,-59.8449612403,-57.7290743763,2022-10-10T00:00:00.000Z
240,AIRT,1805.0,-41.9800707168,-41.2052117264,2022-10-10T00:00:00.000Z
241,MTCH,1794.0,-59.784801614,-63.432531594,2022-10-10T00:00:00.000Z
242,PNC,1794.0,-59.7396768402,-56.5617433414,2022-10-10T00:00:00.000Z
243,SKX,1772.0,-60.9433546396,-58.6367880486,2022-10-10T00:00:00.000Z
244,AIG,1769.0,-59.9683186241,-53.7758035014,2022-10-10T00:00:00.000Z
245,RACY,1767.0,-62.4122527122,-63.0334728033,2022-10-10T00:00:00.000Z
246,BX,1759.0,-56.887254902,-58.6117647059,2022-10-10T00:00:00.000Z
247,DKS,1727.0,-46.6646077826,-46.3164438918,2022-10-10T00:00:00.000Z
248,GENI,1727.0,-73.7378345499,-41.7930569599,2022-10-10T00:00:00.000Z
249,GFS,1717.0,-49.5,-48.4848484848,2022-10-10T00:00:00.000Z
