,Date,Ticker,Mentions,Rank,Sentiment
359,2019-09-07,MSFT,3,15,-0.4931666667
360,2019-09-08,MSFT,4,3,0.30155
361,2019-09-09,MSFT,55,4,-0.00866
362,2019-09-10,MSFT,52,7,0.0384826923
363,2019-09-11,MSFT,67,4,-0.0493029851
364,2019-09-12,MSFT,18,13,0.0446888889
365,2019-09-13,MSFT,46,6,-0.022776087
366,2019-09-14,MSFT,4,16,0.366075
367,2019-09-15,MSFT,6,6,0.0229166667
368,2019-09-16,MSFT,21,11,-0.1044238095
369,2019-09-17,MSFT,25,9,0.065736
370,2019-09-18,MSFT,41,6,-0.0242463415
371,2019-09-19,MSFT,98,3,0.1072989796
372,2019-09-20,MSFT,39,7,-0.0740102564
373,2019-09-21,MSFT,4,16,0.45895
374,2019-09-22,MSFT,8,5,-0.1071625
375,2019-09-23,MSFT,26,11,0.0179961538
376,2019-09-24,MSFT,36,11,0.1240722222
377,2019-09-25,MSFT,35,8,-0.04618
378,2019-09-26,MSFT,15,16,0.0821
379,2019-09-27,MSFT,39,5,0.1010846154
380,2019-09-28,MSFT,3,17,0.1158333333
381,2019-09-29,MSFT,4,5,-0.1876
382,2019-09-30,MSFT,14,9,0.1705785714
383,2019-10-01,MSFT,69,4,0.0312
384,2019-10-02,MSFT,129,2,0.0507674419
385,2019-10-03,MSFT,33,6,0.1244272727
386,2019-10-04,MSFT,19,7,-0.1476526316
387,2019-10-07,MSFT,16,8,0.319225
388,2019-10-08,MSFT,28,5,0.117475
389,2019-10-09,MSFT,13,10,0.3579846154
390,2019-10-10,MSFT,19,11,0.1015210526
391,2019-10-11,MSFT,17,10,-0.0127823529
392,2019-10-12,MSFT,6,7,0.3500833333
393,2019-10-13,MSFT,7,6,0.1982
394,2019-10-14,MSFT,16,7,-0.2292
395,2019-10-15,MSFT,24,11,-0.1234083333
396,2019-10-16,MSFT,18,9,0.1384611111
397,2019-10-17,MSFT,30,5,0.09111
398,2019-10-18,MSFT,73,4,0.0385794521
399,2019-10-19,MSFT,7,5,0.4678857143
400,2019-10-20,MSFT,12,2,0.0686083333
401,2019-10-21,MSFT,88,2,0.0588670455
402,2019-10-22,MSFT,193,1,-0.0222217617
403,2019-10-23,MSFT,358,1,0.0373807263
404,2019-10-24,MSFT,126,3,0.0669595238
405,2019-10-25,MSFT,87,4,0.0379781609
