,Date,Ticker,Senator,Transaction,Amount,Range
42,2019-03-11,MSFT,"Capito, Shelley Moore",Sale,1001.0,"$1,001 - $15,000"
43,2019-02-28,MSFT,"Reed, John F.",Sale,1001.0,"$1,001 - $15,000"
44,2019-02-25,MSFT,"Perdue, David",Sale,15001.0,"$15,001 - $50,000"
45,2019-01-29,MSFT,"Inhofe, James M.",Sale,15001.0,"$15,001 - $50,000"
46,2019-01-29,MSFT,"Inhofe, James M.",Sale,15001.0,"$15,001 - $50,000"
47,2018-12-07,MSFT,"Cassidy, Bill",Sale,1001.0,"$1,001 - $15,000"
48,2018-12-06,MSFT,"Moran, Jerry",Purchase,1001.0,"$1,001 - $15,000"
49,2018-12-06,MSFT,"Moran, Jerry",Purchase,1001.0,"$1,001 - $15,000"
50,2018-05-03,MSFT,"Inhofe, James M.",Sale,15001.0,"$15,001 - $50,000"
51,2018-04-24,MSFT,"Capito, Shelley Moore",Purchase,1001.0,"$1,001 - $15,000"
52,2018-04-24,MSFT,"Capito, Shelley Moore",Purchase,1001.0,"$1,001 - $15,000"
53,2018-04-23,MSFT,"Cassidy, Bill",Sale,1001.0,"$1,001 - $15,000"
54,2018-04-05,MSFT,"Capito, Shelley Moore",Purchase,1001.0,"$1,001 - $15,000"
55,2018-04-05,MSFT,"Capito, Shelley Moore",Purchase,1001.0,"$1,001 - $15,000"
56,2018-02-09,MSFT,"Inhofe, James M.",Purchase,15001.0,"$15,001 - $50,000"
57,2018-01-04,MSFT,"Capito, Shelley Moore",Sale,1001.0,"$1,001 - $15,000"
58,2018-01-04,MSFT,"Capito, Shelley Moore",Sale,1001.0,"$1,001 - $15,000"
59,2018-01-04,MSFT,"Capito, Shelley Moore",Sale,1001.0,"$1,001 - $15,000"
60,2017-10-27,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
61,2017-09-05,MSFT,"Capito, Shelley Moore",Purchase,1001.0,"$1,001 - $15,000"
62,2017-07-20,MSFT,"Inhofe, James M.",Purchase,50001.0,"$50,001 - $100,000"
63,2017-06-15,MSFT,"Murray, Patty",Sale,1001.0,"$1,001 - $15,000"
64,2017-03-16,MSFT,"Murray, Patty",Purchase,1001.0,"$1,001 - $15,000"
65,2016-07-25,MSFT,"Reed, John F.",Sale,1001.0,"$1,001 - $15,000"
66,2016-04-19,MSFT,"Capito, Shelley Moore",Purchase,1001.0,"$1,001 - $15,000"
67,2016-03-31,MSFT,"Cassidy, Bill",Purchase,1001.0,"$1,001 - $15,000"
68,2016-03-31,MSFT,"Cassidy, Bill",Purchase,1001.0,"$1,001 - $15,000"
69,2016-02-12,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
70,2016-02-12,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
71,2016-02-12,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
72,2016-02-12,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
73,2016-02-12,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
74,2016-02-12,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
75,2016-02-11,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
76,2016-02-11,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
77,2016-02-11,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
78,2016-02-11,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
79,2016-02-11,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
80,2016-02-11,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
81,2016-02-10,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
82,2016-02-10,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
83,2016-02-10,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
84,2016-02-10,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
85,2016-02-10,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
86,2016-02-10,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
87,2016-02-09,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
88,2016-02-09,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
89,2016-02-09,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
90,2016-02-03,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
91,2016-02-03,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
92,2016-02-03,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
93,2016-01-27,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
94,2016-01-27,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
95,2016-01-27,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
96,2016-01-27,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
97,2016-01-22,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
98,2016-01-22,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
99,2016-01-06,MSFT,"Whitehouse, Sheldon",Purchase,1001.0,"$1,001 - $15,000"
100,2016-01-06,MSFT,"Whitehouse, Sheldon",Purchase,1001.0,"$1,001 - $15,000"
