,Date,Ticker,Views,pct_change_week,pct_change_month
38,2017-07-10,MSFT,60.0,-43.3962264151,5.2631578947
39,2017-07-17,MSFT,33.0,-45.0,22.2222222222
40,2017-07-24,MSFT,86.0,160.6060606061,120.5128205128
41,2017-07-31,MSFT,37.0,-56.976744186,-65.0943396226
42,2017-08-07,MSFT,36.0,-2.7027027027,-40.0
43,2017-08-14,MSFT,62.0,72.2222222222,87.8787878788
44,2017-08-21,MSFT,37.0,-40.3225806452,-56.976744186
45,2017-08-28,MSFT,39.0,5.4054054054,5.4054054054
46,2017-09-04,MSFT,35.0,-10.2564102564,-2.7777777778
47,2017-09-11,MSFT,32.0,-8.5714285714,-48.3870967742
48,2017-09-18,MSFT,35.0,9.375,-5.4054054054
49,2017-09-25,MSFT,40.0,14.2857142857,2.5641025641
50,2017-10-02,MSFT,42.0,5.0,20.0
51,2017-10-09,MSFT,53.0,26.1904761905,65.625
52,2017-10-16,MSFT,71.0,33.9622641509,102.8571428571
53,2017-10-23,MSFT,51.0,-28.1690140845,27.5
54,2017-10-30,MSFT,36.0,-29.4117647059,-14.2857142857
55,2017-11-06,MSFT,67.0,86.1111111111,26.4150943396
56,2017-11-13,MSFT,110.0,64.1791044776,54.9295774648
57,2017-11-20,MSFT,56.0,-49.0909090909,9.8039215686
58,2017-11-27,MSFT,70.0,25.0,94.4444444444
59,2017-12-04,MSFT,57.0,-18.5714285714,-14.9253731343
60,2017-12-11,MSFT,53.0,-7.0175438596,-51.8181818182
61,2017-12-18,MSFT,40.0,-24.5283018868,-28.5714285714
62,2017-12-25,MSFT,53.0,32.5,-24.2857142857
63,2018-01-01,MSFT,54.0,1.8867924528,-5.2631578947
64,2018-01-08,MSFT,54.0,0.0,1.8867924528
65,2018-01-15,MSFT,92.0,70.3703703704,130.0
66,2018-01-22,MSFT,86.0,-6.5217391304,62.2641509434
67,2018-01-29,MSFT,61.0,-29.0697674419,12.962962963
68,2018-02-05,MSFT,121.0,98.3606557377,124.0740740741
69,2018-02-12,MSFT,129.0,6.6115702479,40.2173913043
70,2018-02-19,MSFT,79.0,-38.7596899225,-8.1395348837
71,2018-02-26,MSFT,101.0,27.8481012658,65.5737704918
72,2018-03-05,MSFT,56.0,-44.5544554455,-53.7190082645
73,2018-03-12,MSFT,67.0,19.6428571429,-48.0620155039
74,2018-03-19,MSFT,47.0,-29.8507462687,-40.5063291139
75,2018-03-26,MSFT,28.0,-40.4255319149,-72.2772277228
76,2018-04-02,MSFT,51.0,82.1428571429,-8.9285714286
77,2018-04-09,MSFT,46.0,-9.8039215686,-31.3432835821
78,2018-04-16,MSFT,69.0,50.0,46.8085106383
79,2018-04-23,MSFT,48.0,-30.4347826087,71.4285714286
80,2018-04-30,MSFT,33.0,-31.25,-35.2941176471
81,2018-05-07,MSFT,58.0,75.7575757576,26.0869565217
82,2018-05-14,MSFT,27.0,-53.4482758621,-60.8695652174
83,2018-05-21,MSFT,47.0,74.0740740741,-2.0833333333
84,2018-05-28,MSFT,41.0,-12.7659574468,24.2424242424
85,2018-06-04,MSFT,39.0,-4.8780487805,-32.7586206897
86,2018-06-11,MSFT,57.0,46.1538461538,111.1111111111
87,2018-06-18,MSFT,24.0,-57.8947368421,-48.9361702128
88,2018-06-25,MSFT,41.0,70.8333333333,0.0
89,2018-07-02,MSFT,42.0,2.4390243902,7.6923076923
90,2018-07-09,MSFT,31.0,-26.1904761905,-45.6140350877
91,2018-07-16,MSFT,31.0,0.0,29.1666666667
92,2018-07-23,MSFT,44.0,41.935483871,7.3170731707
93,2018-07-30,MSFT,96.0,118.1818181818,128.5714285714
94,2018-08-06,MSFT,82.0,-14.5833333333,164.5161290323
95,2018-08-13,MSFT,90.0,9.756097561,190.3225806452
96,2018-08-20,MSFT,95.0,5.5555555556,115.9090909091
97,2018-08-27,MSFT,111.0,16.8421052632,15.625
98,2018-09-03,MSFT,100.0,-9.9099099099,21.9512195122
99,2018-09-10,MSFT,104.0,4.0,15.5555555556
100,2018-09-17,MSFT,82.0,-21.1538461538,-13.6842105263
101,2018-09-24,MSFT,129.0,57.3170731707,16.2162162162
102,2018-10-01,MSFT,111.0,-13.9534883721,11.0
103,2018-10-08,MSFT,86.0,-22.5225225225,-17.3076923077
104,2018-10-15,MSFT,558.0,548.8372093023,580.487804878
105,2018-10-22,MSFT,88.0,-84.229390681,-31.7829457364
106,2018-10-29,MSFT,130.0,47.7272727273,17.1171171171
107,2018-11-05,MSFT,122.0,-6.1538461538,41.8604651163
108,2018-11-12,MSFT,133.0,9.0163934426,-76.164874552
