,Date,Ticker,OTC_Short,OTC_Total,DPI
483,2020-09-14,MSFT,3582552,9721685,0.3685114257
484,2020-09-11,MSFT,4460104,11818646,0.3773785931
485,2020-09-10,MSFT,4571549,12523097,0.3650493963
486,2020-09-09,MSFT,6222686,16544614,0.3761155141
487,2020-09-08,MSFT,5763544,18134925,0.3178146036
488,2020-09-04,MSFT,5802986,21335882,0.2719824753
489,2020-09-03,MSFT,5547737,21113402,0.2627590286
490,2020-09-02,MSFT,3632071,12786123,0.2840635117
491,2020-09-01,MSFT,2721324,9394527,0.2896712096
492,2020-08-31,MSFT,2992813,10090617,0.2965936573
493,2020-08-28,MSFT,3600953,10478598,0.3436483583
494,2020-08-27,MSFT,9274358,26270659,0.3530310374
495,2020-08-26,MSFT,4397362,15949674,0.2757023122
496,2020-08-25,MSFT,2082079,7326464,0.2841860685
497,2020-08-24,MSFT,2461606,8654998,0.2844143927
498,2020-08-21,MSFT,3062652,13548030,0.226058844
499,2020-08-20,MSFT,2870077,8766708,0.3273836656
500,2020-08-19,MSFT,2708116,7743994,0.3497053329
501,2020-08-18,MSFT,1954620,6469248,0.3021402178
502,2020-08-17,MSFT,1647483,6536993,0.252024593
503,2020-08-14,MSFT,2380326,7678456,0.3100006043
504,2020-08-13,MSFT,3168539,9712597,0.3262298436
505,2020-08-12,MSFT,3307186,10792226,0.3064415071
506,2020-08-11,MSFT,3736456,15288127,0.24440247
507,2020-08-10,MSFT,4697806,14698871,0.3196031859
508,2020-08-07,MSFT,3492278,11530690,0.3028680851
509,2020-08-06,MSFT,3583148,12028902,0.297878227
510,2020-08-05,MSFT,4108242,12531755,0.3278265494
511,2020-08-04,MSFT,6938441,20517243,0.3381760893
512,2020-08-03,MSFT,13328839,36011868,0.3701235104
513,2020-07-31,MSFT,6068294,18303269,0.3315415405
514,2020-07-30,MSFT,2974999,9668099,0.3077129227
515,2020-07-29,MSFT,2163686,7474374,0.2894805639
516,2020-07-28,MSFT,2763558,9724594,0.2841823525
517,2020-07-27,MSFT,3721093,11580792,0.3213159342
518,2020-07-24,MSFT,5099773,17598129,0.2897906363
519,2020-07-23,MSFT,10719505,29524893,0.3630666841
520,2020-07-22,MSFT,6768397,21663525,0.3124328566
521,2020-07-21,MSFT,5599419,15742029,0.3556986841
522,2020-07-20,MSFT,5254432,14619416,0.3594146305
523,2020-07-17,MSFT,3644413,11547817,0.3155932416
524,2020-07-16,MSFT,3669673,10931442,0.335698895
525,2020-07-15,MSFT,3727883,11095430,0.3359836437
526,2020-07-14,MSFT,3531576,12894812,0.2738757261
527,2020-07-13,MSFT,4708930,13755347,0.3423345118
528,2020-07-10,MSFT,3134446,9502650,0.3298496735
529,2020-07-09,MSFT,6116507,13392069,0.4567260667
530,2020-07-08,MSFT,6394411,12722162,0.5026198377
531,2020-07-07,MSFT,4352387,12126195,0.3589243782
532,2020-07-06,MSFT,3892904,11320364,0.3438850553
533,2020-07-02,MSFT,3252498,9696878,0.335417028
534,2020-07-01,MSFT,2847035,10067385,0.2827978666
535,2020-06-30,MSFT,2842271,9517444,0.2986380587
536,2020-06-29,MSFT,2835373,8337511,0.340074274
537,2020-06-26,MSFT,3943545,13017679,0.3029376435
538,2020-06-25,MSFT,2994925,8857073,0.3381393605
539,2020-06-24,MSFT,4538098,12760260,0.3556430668
540,2020-06-23,MSFT,4018590,11725678,0.3427170693
541,2020-06-22,MSFT,4068306,11509351,0.3534783152
542,2020-06-19,MSFT,6598061,11447060,0.5763978698
543,2020-06-18,MSFT,3639937,7151963,0.5089423701
544,2020-06-17,MSFT,4618035,8771183,0.5265008152
545,2020-06-16,MSFT,5105354,11512313,0.4434690058
546,2020-06-15,MSFT,4395401,8977751,0.4895882053
547,2020-06-12,MSFT,7072416,12752204,0.5546034238
548,2020-06-11,MSFT,9976826,18580018,0.5369653571
549,2020-06-10,MSFT,9442655,16995926,0.5555834381
550,2020-06-09,MSFT,5268728,10004149,0.5266542911
551,2020-06-08,MSFT,4992348,10517275,0.4746807514
552,2020-06-05,MSFT,5506021,11526213,0.4776955796
553,2020-06-04,MSFT,5907629,10608998,0.5568507978
554,2020-06-03,MSFT,4177095,8355917,0.4998966601
555,2020-06-02,MSFT,4836330,10267596,0.4710284666
556,2020-06-01,MSFT,3103004,7692896,0.4033596711
557,2020-05-29,MSFT,4401962,10675482,0.4123431616
558,2020-05-28,MSFT,3137265,9317633,0.3367019285
559,2020-05-27,MSFT,5211845,13678903,0.3810133751
560,2020-05-26,MSFT,5175396,10225303,0.5061361996
561,2020-05-22,MSFT,3855138,7667611,0.5027821573
562,2020-05-21,MSFT,3630313,10023528,0.3621791649
563,2020-05-20,MSFT,2884637,10492634,0.2749201964
564,2020-05-19,MSFT,4377854,9579479,0.4570033506
565,2020-05-18,MSFT,5714520,12080427,0.4730395705
566,2020-05-15,MSFT,5321214,14162780,0.3757181853
567,2020-05-14,MSFT,5181967,13772841,0.3762453222
568,2020-05-13,MSFT,4720725,16086685,0.293455426
569,2020-05-12,MSFT,3837181,10950688,0.3504054722
570,2020-05-11,MSFT,3511378,11731893,0.2993019115
571,2020-05-08,MSFT,3711161,12103425,0.3066207293
572,2020-05-07,MSFT,3962608,10782742,0.3674953922
573,2020-05-06,MSFT,5261758,14798798,0.3555530659
574,2020-05-05,MSFT,5277444,15278192,0.3454233328
575,2020-05-04,MSFT,4438994,12504847,0.3549818722
576,2020-05-01,MSFT,5817120,16016732,0.3631901939
577,2020-04-30,MSFT,7269421,21854199,0.3326326899
578,2020-04-29,MSFT,6127978,17766386,0.3449197828
579,2020-04-28,MSFT,4494944,12697324,0.3540071908
580,2020-04-27,MSFT,4577019,13161506,0.3477579997
581,2020-04-24,MSFT,4726051,13969397,0.338314603
582,2020-04-23,MSFT,3979695,12095172,0.3290316996
583,2020-04-22,MSFT,4194505,12632772,0.3320336186
584,2020-04-21,MSFT,7715926,21694468,0.3556632963
585,2020-04-20,MSFT,4889923,14911198,0.3279362932
586,2020-04-17,MSFT,8806915,17000599,0.5180355704
587,2020-04-16,MSFT,10188283,18060404,0.564122652
588,2020-04-15,MSFT,8589876,16404898,0.5236165443
589,2020-04-14,MSFT,9854677,18766728,0.5251142874
590,2020-04-13,MSFT,8545521,17826220,0.4793793076
591,2020-04-09,MSFT,8981503,16725249,0.5370026479
592,2020-04-08,MSFT,10018331,17672293,0.5668947997
