,Date,Ticker,Representative,Transaction,Amount,Range
77,2021-03-04,MSFT, Blake Moore,Purchase,1001.0,"$1,001-$15,000"
78,2021-02-25,MSFT, Blake Moore,Purchase,1001.0,"$1,001-$15,000"
79,2021-02-25,MSFT, Josh Gottheimer,Sale,1001.0,"$1,001-$15,000"
80,2021-02-25,MSFT, Blake Moore,Purchase,1001.0,"$1,001-$15,000"
81,2021-02-23,MSFT, Patrick Fallon,Sale,1001.0,"$1,001-$15,000"
82,2021-02-23,MSFT, John Rutherford,Sale,1001.0,"$1,001-$15,000"
83,2021-02-23,MSFT, Patrick Fallon,Purchase,250001.0,"$250,001-$1,000,000"
84,2021-02-17,MSFT, Patrick Fallon,Sale,500001.0,"$500,001"
85,2021-02-17,MSFT, Patrick Fallon,Sale,500001.0,"$500,001"
86,2021-02-16,MSFT,Mr. Peter Meijer,Sale,100001.0,"$100,001-250,000"
87,2021-02-12,MSFT, Josh Gottheimer,Purchase,15001.0,"$15,001-$50,000"
88,2021-02-12,MSFT, Josh Gottheimer,Sale,15001.0,"$15,001-$50,000"
89,2021-01-28,MSFT,Mr. Peter Meijer,Sale,1001.0,"$1,001-$15,000"
90,2021-01-22,MSFT,Marie Newman,Sale,15001.0,"$15,001-$50,000"
91,2021-01-19,MSFT, Patrick Fallon,Sale,15001.0,"$15,001-$50,000"
92,2021-01-19,MSFT, Patrick Fallon,Purchase,500001.0,"$500,001"
93,2021-01-14,MSFT,Marie Newman,Purchase,15001.0,"$15,001-$50,000"
94,2020-12-23,MSFT, Donald Sternoff  Beyer Jr,Sale,1001.0,"$1,001-$15,000"
95,2020-12-10,MSFT, Kevin Hern,Purchase,1001.0,"$1,001-$15,000"
96,2020-12-01,MSFT, Suzan K. Delbene,Sale,250001.0,"$250,001-$1,000,000"
97,2020-11-24,MSFT, Donald Sternoff Beyer Jr,Purchase,1001.0,"$1,001-$15,000"
98,2020-11-20,MSFT, Joseph D. Morelle,Sale,15001.0,"$15,001-$50,000"
99,2020-11-12,MSFT, Ed Perlmutter,Purchase,1001.0,"$1,001-$15,000"
100,2020-10-09,MSFT, John Curtis,Sale,1001.0,"$1,001-$15,000"
101,2020-10-02,MSFT, Robert J. Wittman,Purchase,1001.0,"$1,001-$15,000"
102,2020-09-30,MSFT, Suzan K. Delbene,Purchase,1001.0,"$1,001-$15,000"
103,2020-09-23,MSFT, Ed Perlmutter,Sale,1001.0,"$1,001-$15,000"
104,2020-09-15,MSFT, Roger W. Marshall,Sale,1001.0,"$1,001-$15,000"
105,2020-09-14,MSFT, Ed Perlmutter,Sale,1001.0,"$1,001-$15,000"
106,2020-09-10,MSFT, Kevin Hern,Purchase,1001.0,"$1,001-$15,000"
107,2020-09-04,MSFT, Dwight Evans,Sale,1001.0,"$1,001-$15,000"
108,2020-09-03,MSFT, Roger W. Marshall,Purchase,1001.0,"$1,001-$15,000"
109,2020-09-02,MSFT, Suzan K. Delbene,Sale,5000000.0,">$5,000,000"
110,2020-08-31,MSFT, Suzan K. Delbene,Purchase,5000000.0,">$5,000,000"
111,2020-08-28,MSFT, David B. Mckinley,Sale,1001.0,"$1,001-$15,000"
112,2020-08-07,MSFT, Joe Courtney,Sale,1001.0,"$1,001-$15,000"
113,2020-07-28,MSFT, Suzan K. Delbene,Sale,1000001.0,"$1,000,001-$5,000,000"
114,2020-07-28,MSFT, Suzan K. Delbene,Sale,1000001.0,"$1,000,001-$5,000,000"
115,2020-07-27,MSFT, Kevin Hern,Purchase,1001.0,"$1,001-$15,000"
116,2020-07-14,MSFT, Donald Sternoff Beyer Jr,Sale,15001.0,"$15,001-$50,000"
117,2020-06-30,MSFT, Suzan K. Delbene,Purchase,1001.0,"$1,001-$15,000"
118,2020-06-29,MSFT, William R. Timmons Iv,Sale,1001.0,"$1,001-$15,000"
119,2020-06-26,MSFT, Sean Patrick Maloney,Sale,1001.0,"$1,001-$15,000"
120,2020-06-22,MSFT, Josh Gottheimer,Sale,1001.0,"$1,001-$15,000"
121,2020-06-11,MSFT, Kevin Hern,Purchase,1001.0,"$1,001-$15,000"
122,2020-06-10,MSFT, Ed Perlmutter,Purchase,1001.0,"$1,001-$15,000"
123,2020-05-26,MSFT, David B. Mckinley,Sale,1001.0,"$1,001-$15,000"
124,2020-05-18,MSFT, Josh Gottheimer,Sale,15001.0,"$15,001-$50,000"
125,2020-05-15,MSFT, Josh Gottheimer,Sale,1001.0,"$1,001-$15,000"
126,2020-05-01,MSFT, Donald Sternoff Beyer Jr,Sale,1001.0,"$1,001-$15,000"
127,2020-04-27,MSFT, Donald Sternoff Beyer Jr,Sale,1001.0,"$1,001-$15,000"
128,2020-04-27,MSFT, Donald Sternoff Beyer Jr,Sale,1001.0,"$1,001-$15,000"
129,2020-04-20,MSFT, Donald Sternoff Beyer Jr,Sale,1001.0,"$1,001-$15,000"
130,2020-04-20,MSFT, Donald Sternoff Beyer Jr,Sale,1001.0,"$1,001-$15,000"
131,2020-04-20,MSFT, Donald Sternoff Beyer Jr,Sale,1001.0,"$1,001-$15,000"
132,2020-04-20,MSFT, Donald Sternoff Beyer Jr,Sale,1001.0,"$1,001-$15,000"
133,2020-04-13,MSFT, Josh Gottheimer,Sale,1001.0,"$1,001-$15,000"
134,2020-04-13,MSFT, Josh Gottheimer,Sale,1001.0,"$1,001-$15,000"
135,2020-04-09,MSFT, Kevin Hern,Purchase,1001.0,"$1,001-$15,000"
136,2020-04-09,MSFT, Kevin Hern,Purchase,1001.0,"$1,001-$15,000"
137,2020-04-06,MSFT, Cheri Bustos,Sale,15001.0,"$15,001-$50,000"
138,2020-04-06,MSFT, Susan W. Brooks,Purchase,1001.0,"$1,001-$15,000"
139,2020-03-31,MSFT, Daniel Meuser,Sale,1001.0,"$1,001-$15,000"
140,2020-03-31,MSFT, Suzan K. Delbene,Purchase,1001.0,"$1,001-$15,000"
141,2020-03-30,MSFT, Daniel Meuser,Purchase,1001.0,"$1,001-$15,000"
142,2020-03-27,MSFT, John Curtis,Purchase,15001.0,"$15,001-$50,000"
143,2020-03-26,MSFT, Daniel Meuser,Purchase,1001.0,"$1,001-$15,000"
144,2020-03-26,MSFT, Daniel Meuser,Purchase,1001.0,"$1,001-$15,000"
145,2020-03-26,MSFT, Daniel Meuser,Purchase,15001.0,"$15,001-$50,000"
146,2020-03-26,MSFT, Daniel Meuser,Purchase,1001.0,"$1,001-$15,000"
147,2020-03-26,MSFT, Kevin Hern,Purchase,250001.0,"$250,001-$1,000,000"
148,2020-03-26,MSFT, Daniel Meuser,Purchase,15001.0,"$15,001-$50,000"
149,2020-03-26,MSFT, Steve Cohen,Sale,15001.0,"$15,001-$50,000"
150,2020-03-26,MSFT, Daniel Meuser,Purchase,1001.0,"$1,001-$15,000"
151,2020-03-24,MSFT, Josh Gottheimer,Purchase,50001.0,"$50,001-$100,000"
152,2020-03-23,MSFT, Zoe Lofgren,Sale,1001.0,"$1,001-$15,000"
153,2020-03-20,MSFT, Thomas Suozzi,Purchase,1001.0,"$1,001-$15,000"
154,2020-03-18,MSFT, Gilbert Cisneros,Purchase,1001.0,"$1,001-$15,000"
155,2020-03-17,MSFT, Josh Gottheimer,Purchase,1001.0,"$1,001-$15,000"
156,2020-03-17,MSFT, Josh Gottheimer,Purchase,15001.0,"$15,001-$50,000"
157,2020-03-11,MSFT, John Curtis,Purchase,1001.0,"$1,001-$15,000"
158,2020-03-09,MSFT, David B. Mckinley,Sale,1001.0,"$1,001-$15,000"
159,2020-03-03,MSFT, Earl Blumenauer,Purchase,1001.0,"$1,001-$15,000"
160,2020-03-02,MSFT, Suzan K. Delbene,Purchase,500001.0,"$500,001"
161,2020-02-26,MSFT, Josh Gottheimer,Purchase,15001.0,"$15,001-$50,000"
162,2020-02-24,MSFT, John Rutherford,Sale,1001.0,"$1,001-$15,000"
163,2020-02-24,MSFT, John Rutherford,Sale,1001.0,"$1,001-$15,000"
164,2020-02-14,MSFT, Donald Sternoff Beyer Jr,Purchase,1001.0,"$1,001-$15,000"
165,2020-01-24,MSFT, Donald Sternoff Beyer Jr,Purchase,1001.0,"$1,001-$15,000"
166,2020-01-16,MSFT, Josh Gottheimer,Sale,1001.0,"$1,001-$15,000"
167,2020-01-13,MSFT, Michael John Gallagher,Sale,1001.0,"$1,001-$15,000"
168,2020-01-09,MSFT, Thomas Suozzi,Purchase,1001.0,"$1,001-$15,000"
169,2020-01-09,MSFT, Josh Gottheimer,Sale,1001.0,"$1,001-$15,000"
170,2020-01-09,MSFT, Donald Sternoff Beyer Jr,Purchase,1001.0,"$1,001-$15,000"
171,2019-12-31,MSFT, Joe Courtney,Purchase,1001.0,"$1,001-$15,000"
172,2019-12-31,MSFT, Suzan K. Delbene,Purchase,1001.0,"$1,001-$15,000"
173,2019-12-24,MSFT, Donald Sternoff Beyer Jr,Purchase,1001.0,"$1,001-$15,000"
174,2019-12-18,MSFT, John B. Larson,Sale,1001.0,"$1,001-$15,000"
175,2019-12-09,MSFT, Donald Sternoff Beyer Jr,Purchase,1001.0,"$1,001-$15,000"
176,2019-11-22,MSFT, Donald Sternoff Beyer Jr,Purchase,1001.0,"$1,001-$15,000"
177,2019-11-22,MSFT, Donald Sternoff Beyer Jr,Purchase,1001.0,"$1,001-$15,000"
178,2019-11-19,MSFT, Josh Gottheimer,Sale,1001.0,"$1,001-$15,000"
179,2019-11-12,MSFT, John W. Rose,Sale,500001.0,"$500,001"
180,2019-10-29,MSFT, Cheri Bustos,Purchase,15001.0,"$15,001-$50,000"
181,2019-10-15,MSFT, Kevin Hern,Purchase,15001.0,"$15,001-$50,000"
182,2019-09-30,MSFT, Suzan K. Delbene,Purchase,1001.0,"$1,001-$15,000"
183,2019-09-20,MSFT, Alan S. Lowenthal,Purchase,1001.0,"$1,001-$15,000"
184,2019-09-04,MSFT, Suzan K. Delbene,Sale,5000000.0,">$5,000,000"
185,2019-09-03,MSFT, Suzan K. Delbene,Purchase,5000000.0,">$5,000,000"
186,2019-08-29,MSFT, Steve Cohen,Sale,15001.0,"$15,001-$50,000"
187,2019-08-28,MSFT, Suzan K. Delbene,Sale,500001.0,"$500,001"
188,2019-08-28,MSFT, Donna Shalala,Sale,1001.0,"$1,001-$15,000"
189,2019-07-09,MSFT, Elizabeth Fletcher,Sale,1001.0,"$1,001-$15,000"
190,2019-06-28,MSFT, Suzan K. Delbene,Purchase,1001.0,"$1,001-$15,000"
191,2019-06-20,MSFT, Bradley S. Schneider,Sale,250001.0,"$250,001-$1,000,000"
192,2019-06-19,MSFT, Bradley S. Schneider,Sale,100001.0,"$100,001-250,000"
193,2019-05-31,MSFT, Elizabeth Fletcher,Sale,1001.0,"$1,001-$15,000"
194,2019-04-30,MSFT, Josh Gottheimer,Purchase,1001.0,"$1,001-$15,000"
195,2019-04-26,MSFT, Josh Gottheimer,Purchase,1001.0,"$1,001-$15,000"
196,2019-03-29,MSFT, Suzan K. Delbene,Purchase,1001.0,"$1,001-$15,000"
197,2019-03-25,MSFT, Nicholas Van Taylor,Sale,15001.0,"$15,001-$50,000"
198,2019-03-25,MSFT, Nicholas Van Taylor,Sale,50001.0,"$50,001-$100,000"
199,2019-03-25,MSFT, Nicholas Van Taylor,Sale,1001.0,"$1,001-$15,000"
200,2019-03-05,MSFT, Suzan K. Delbene,Sale,500001.0,"$500,001"
201,2019-02-28,MSFT, Suzan K. Delbene,Purchase,500001.0,"$500,001"
202,2019-02-26,MSFT, Elizabeth Fletcher,Purchase,1001.0,"$1,001-$15,000"
203,2019-02-14,MSFT, Alan S. Lowenthal,Purchase,107.06,$107.06
204,2019-02-14,MSFT, Alan S. Lowenthal,Purchase,1001.0,"$1,001-$15,000"
205,2019-02-05,MSFT, Donna Shalala,Sale,1001.0,"$1,001-$15,000"
206,2019-01-08,MSFT, K. Michael Conaway,Purchase,1001.0,"$1,001-$15,000"
207,2018-12-31,MSFT, Suzan K. Delbene,Purchase,1001.0,"$1,001-$15,000"
208,2018-12-13,MSFT, Suzan K. Delbene,Purchase,1000001.0,"$1,000,001-$5,000,000"
209,2018-12-13,MSFT, Thomas Macarthur,Purchase,1001.0,"$1,001-$15,000"
210,2018-11-28,MSFT, Josh Gottheimer,Purchase,1001.0,"$1,001-$15,000"
211,2018-11-27,MSFT, Josh Gottheimer,Sale,1001.0,"$1,001-$15,000"
212,2018-11-14,MSFT, Lamar Smith,Sale,1001.0,"$1,001-$15,000"
213,2018-09-28,MSFT, Suzan K. Delbene,Purchase,1001.0,"$1,001-$15,000"
214,2018-09-13,MSFT, Thomas Macarthur,Purchase,1001.0,"$1,001-$15,000"
215,2018-09-04,MSFT, Suzan K. Delbene,Sale,5000000.0,">$5,000,000"
216,2018-08-31,MSFT, Suzan K. Delbene,Purchase,5000000.0,">$5,000,000"
217,2018-08-30,MSFT, K. Michael Conaway,Sale,1001.0,"$1,001-$15,000"
218,2018-08-29,MSFT, Suzan K. Delbene,Purchase,250001.0,"$250,001-$1,000,000"
219,2018-08-28,MSFT, Carlos Curbelo,Sale,1001.0,"$1,001-$15,000"
220,2018-08-27,MSFT, Roger W. Marshall,Sale,15001.0,"$15,001-$50,000"
221,2018-08-22,MSFT, Roger W. Marshall,Purchase,1001.0,"$1,001-$15,000"
222,2018-08-07,MSFT, Roger W. Marshall,Purchase,1001.0,"$1,001-$15,000"
223,2018-08-06,MSFT, Gary Palmer,Purchase,1001.0,"$1,001-$15,000"
224,2018-07-16,MSFT, Gary Palmer,Sale,1001.0,"$1,001-$15,000"
225,2018-07-16,MSFT, Gary Palmer,Sale,1001.0,"$1,001-$15,000"
226,2018-07-16,MSFT, Gary Palmer,Sale,1001.0,"$1,001-$15,000"
227,2018-07-12,MSFT, Gary Palmer,Purchase,1001.0,"$1,001-$15,000"
228,2018-07-02,MSFT, Suzan K. Delbene,Purchase,1001.0,"$1,001-$15,000"
229,2018-06-14,MSFT, Thomas Macarthur,Purchase,1001.0,"$1,001-$15,000"
230,2018-06-05,MSFT, Barbara J  Comstock,Purchase,15001.0,"$15,001-$50,000"
231,2018-05-30,MSFT, Bob Gibbs,Purchase,1001.0,"$1,001-$15,000"
232,2018-05-11,MSFT, Thomas Macarthur,Sale,1001.0,"$1,001-$15,000"
233,2018-04-30,MSFT, Josh Gottheimer,Purchase,1001.0,"$1,001-$15,000"
234,2018-04-11,MSFT, Bob Gibbs,Purchase,15001.0,"$15,001-$50,000"
235,2018-04-06,MSFT, Carlos Curbelo,Purchase,1001.0,"$1,001-$15,000"
236,2018-02-06,MSFT, Barbara J  Comstock,Purchase,1001.0,"$1,001-$15,000"
237,2018-02-06,MSFT, Josh Gottheimer,Purchase,15001.0,"$15,001-$50,000"
238,2017-12-01,MSFT, Pete Sessions,Purchase,1001.0,"$1,001-$15,000"
239,2017-08-17,MSFT, Thomas Suozzi,Purchase,15001.0,"$15,001-$50,000"
240,2017-07-17,MSFT, John Rutherford,Purchase,1001.0,"$1,001-$15,000"
241,2017-04-04,MSFT, Gary Palmer,Purchase,1001.0,"$1,001-$15,000"
242,2017-03-17,MSFT, Derek Kilmer,Sale,1001.0,"$1,001-$15,000"
