,Date,Ticker,Client,Amount,Issue,Specific_Issue
1479,2008-07-17,MSFT,MICROSOFT CORPORATION,70000.0,"Budget/Appropriations 
 Immigration","Information technology spending. 
 H1-B Visa Program, Workforce Issues."
1480,2008-07-16,MSFT,MICROSOFT CORP,30000.0,Immigration,"S 1348, Comprehensive Immigration Reform Act of 2007, lobbied in support of increasing the number of H-1B visas in the US."
1481,2008-07-16,MSFT,MICROSOFT CORPORATION,10000.0,Taxation/Internal Revenue Code,"Deferred Compensation legislation (H.R. 6049, the ""Renewable Energy and Job Creation Act of 2008""); (S. 3125, the ""Energy Independence and Tax Relief Act of 2008"")."
1482,2008-07-15,MSFT,MICROSOFT,22500.0,Taxation/Internal Revenue Code,R&D Tax Credit
1483,2008-07-15,MSFT,MICROSOFT CORPORATION,30000.0,"Labor Issues/Antitrust/Workplace 
 Immigration 
 Telecommunications 
 Science/Technology","Comptetitiveness issues 
 Immigration Reform 
 Telecommunications Reform 
 Science and Technology issues"
1484,2008-07-14,MSFT,MICROSOFT CORPORATION,30000.0,"Immigration 
 Telecommunications","Immigration Reform HR 5921 To Amend the Immigration and Nationality Act to eliminate the per country level for employment based immigrants and to end the spill over of unused immigrant visa numbers between employment based and family sponsored categories. HR 5882 To recapture employment based immigrant visas lost to bureaucratic delays and to prevent losses of family and employment based immigrant visas in the future. HR 6039 To amend the Immigration and Nationality Act to authorize certain aliens who have earned a master's or higher degree from a US institution of higher education in a field of science, technology, engineering, or mathematics to be admitted for permanent residence. HR 6020 TO amend the Immigration and Nationality Act to protect the well being of soldiers and their families, and for other purposes.

Visa Efficiency Act of 2008 Senate version of above. 
 Google Yahoo merger anti-competition issues online advertising"
1485,2008-07-14,MSFT,MICROSOFT CORPORATION,18000.0,Immigration,Immigration Reform
1486,2008-07-14,MSFT,MICROSOFT CORPORATION,90000.0,"Immigration 
 Budget/Appropriations","H1-B Visa Program, Workforce Issues. 
 Information technology spending."
1487,2008-07-09,MSFT,MICROSOFT CORPORATION,60000.0,Taxation/Internal Revenue Code,General corporate and international tax issues
1488,2008-07-09,MSFT,MICROSOFT CORPORATION,30000.0,Taxation/Internal Revenue Code,"Tax issues of interest to the U.S. software industry; the federal research and experimentation tax credit, Section 41 of the Internal Revenue Code; H.R. 2138, the Investment in America Act of 2007; H.R. 6049, the Renewable Energy and Job Creation Act of 2008; S. 41, the Research Competitiveness Act of 2007; S. 2886, Alternative Minimum Tax and Extenders Tax Relief Act of 2008; S. 3098, Alternative Minimum Tax and Extenders Tax Relief Act of 2008; and S. 3125, the Energy Independence and Tax Relief Act of 2008."
1489,2008-07-09,MSFT,MICROSOFT CORPORATION,30000.0,Taxation/Internal Revenue Code,"Tax issues of interest to the U.S. software industry; the federal research and experimentation tax credit, Section 41 of the Internal Revenue Code; H. R. 2138, the Investment in America Act of 2007; H. R. 6049, the Renewable Energy and Job Creation Act of 2008; S. 41, the Research Competitiveness Act of 2007; S. 2886, Alternative Minimum Tax and Extenders Tax Relief Act of 2008; S. 3098, Alternative Minimum Tax and Extenders Tax Relief Act of 2008; and S. 3125, the Energy Independence and Tax Relief Act of 2008"
