,Ticker,Date,Name,AcquiredDisposedCode,TransactionCode,Shares,PricePerShare,SharesOwnedFollowing
34,MSFT,2022-08-30T00:00:00.000Z,Nadella Satya,D,F,4205.209,265.23,805440.038
35,MSFT,2022-08-30T00:00:00.000Z,Hood Amy,D,F,1999.328,265.23,484223.727
36,MSFT,2022-08-30T00:00:00.000Z,WARRIOR PADMASREE,A,A,223.0,0.0,12821.0
37,MSFT,2022-08-30T00:00:00.000Z,Walmsley Emma N,A,A,223.0,0.0,9191.799
38,MSFT,2022-08-30T00:00:00.000Z,Walmsley Emma N,D,F,66.9,262.97,9124.899
39,MSFT,2022-08-30T00:00:00.000Z,STANTON JOHN W,A,A,223.0,0.0,76679.0
40,MSFT,2022-08-30T00:00:00.000Z,SCHARF CHARLES W,A,A,223.0,0.0,42666.0
41,MSFT,2022-08-30T00:00:00.000Z,Johnston Hugh F,A,A,223.0,0.0,6623.0
42,MSFT,2022-08-30T00:00:00.000Z,Althoff Judson,D,F,1170.991,265.23,124676.674
43,MSFT,2022-08-30T00:00:00.000Z,Capossela Christopher C,D,F,829.498,265.23,99090.7535
44,MSFT,2022-08-30T00:00:00.000Z,Hogan Kathleen T,D,F,757.758,265.23,191718.1206
45,MSFT,2022-08-12T00:00:00.000Z,Nadella Satya,D,G,52.0,0.0,856151.446
46,MSFT,2022-08-11T00:00:00.000Z,Nadella Satya,D,G,40366.0,0.0,856203.446
47,MSFT,2022-08-11T00:00:00.000Z,Hogan Kathleen T,D,G,261.0,0.0,206445.6006
48,MSFT,2022-07-15T00:00:00.000Z,Jolla Alice L.,D,F,177.469,254.08,62102.413
49,MSFT,2022-06-14T00:00:00.000Z,Jolla Alice L.,A,A,116.0,0.0,62279.882
50,MSFT,2022-05-31T00:00:00.000Z,Walmsley Emma N,D,F,64.5,273.24,8968.799
51,MSFT,2022-05-31T00:00:00.000Z,Johnston Hugh F,A,A,215.0,0.0,6400.0
52,MSFT,2022-05-31T00:00:00.000Z,Jolla Alice L.,D,F,389.949,273.24,62163.882
53,MSFT,2022-05-31T00:00:00.000Z,WARRIOR PADMASREE,A,A,215.0,0.0,12787.0
54,MSFT,2022-05-31T00:00:00.000Z,Walmsley Emma N,A,A,215.0,0.0,9033.299
55,MSFT,2022-05-31T00:00:00.000Z,STANTON JOHN W,A,A,215.0,0.0,76456.0
56,MSFT,2022-05-31T00:00:00.000Z,List Teri,A,A,215.0,0.0,1654.0
57,MSFT,2022-05-31T00:00:00.000Z,SCHARF CHARLES W,A,A,215.0,0.0,42443.0
58,MSFT,2022-04-18T00:00:00.000Z,Jolla Alice L.,D,F,177.076,279.83,62553.8306
59,MSFT,2022-04-12T00:00:00.000Z,Hogan Kathleen T,D,G,20.0,0.0,192475.8786
60,MSFT,2022-04-05T00:00:00.000Z,Capossela Christopher C,D,G,2500.0,0.0,99783.3045
61,MSFT,2022-03-28T00:00:00.000Z,Althoff Judson,D,F,11012.337,303.68,125847.665
62,MSFT,2022-03-01T00:00:00.000Z,Nadella Satya,D,S,7931.0,296.5245,809645.247
63,MSFT,2022-02-28T00:00:00.000Z,Young Christopher David,D,F,1072.836,297.31,99437.164
64,MSFT,2022-02-28T00:00:00.000Z,Nadella Satya,D,F,13214.753,297.31,817576.247
65,MSFT,2022-02-28T00:00:00.000Z,SMITH BRADFORD L,D,F,4763.145,297.31,583740.855
66,MSFT,2022-02-28T00:00:00.000Z,Althoff Judson,D,F,2725.998,297.31,136860.002
67,MSFT,2022-02-28T00:00:00.000Z,Hood Amy,D,F,6030.945,297.31,486223.055
68,MSFT,2022-02-28T00:00:00.000Z,Hogan Kathleen T,D,F,2498.804,297.31,192421.196
69,MSFT,2022-02-28T00:00:00.000Z,Capossela Christopher C,D,F,1852.222,297.31,102351.778
70,MSFT,2022-02-28T00:00:00.000Z,Jolla Alice L.,D,F,577.053,297.31,62656.224
71,MSFT,2022-02-15T00:00:00.000Z,SMITH BRADFORD L,D,G,33966.0,0.0,588494.0
72,MSFT,2022-02-08T00:00:00.000Z,SMITH BRADFORD L,D,S,27860.0,304.6364,622460.0
73,MSFT,2022-01-31T00:00:00.000Z,Walmsley Emma N,A,P,1600.0,311.5281,8686.0
74,MSFT,2022-01-31T00:00:00.000Z,Walmsley Emma N,D,F,56.701,310.98,8818.299
75,MSFT,2022-01-31T00:00:00.000Z,Johnston Hugh F,A,A,189.0,0.0,6185.0
76,MSFT,2022-01-31T00:00:00.000Z,STANTON JOHN W,A,A,189.0,0.0,76241.0
77,MSFT,2022-01-31T00:00:00.000Z,SCHARF CHARLES W,A,A,189.0,0.0,42228.0
78,MSFT,2022-01-31T00:00:00.000Z,WARRIOR PADMASREE,A,A,189.0,0.0,12383.0
79,MSFT,2022-01-31T00:00:00.000Z,Walmsley Emma N,A,A,189.0,0.0,8875.0
80,MSFT,2022-01-28T00:00:00.000Z,Walmsley Emma N,A,P,1700.0,295.4803,7086.0
81,MSFT,2022-01-18T00:00:00.000Z,Jolla Alice L.,D,F,199.723,310.2,63233.277
82,MSFT,2021-12-15T00:00:00.000Z,Jolla Alice L.,A,A,4483.0,0.0,63433.0
83,MSFT,2021-12-08T00:00:00.000Z,SMITH BRADFORD L,D,G,4500.0,0.0,650320.0
84,MSFT,2021-12-07T00:00:00.000Z,List Teri,D,S,1650.0,334.8955,1654.0
85,MSFT,2021-11-30T00:00:00.000Z,Jolla Alice L.,D,F,416.0,336.63,58950.0
86,MSFT,2021-11-29T00:00:00.000Z,Walmsley Emma N,D,F,45.0,336.63,5386.0
87,MSFT,2021-11-29T00:00:00.000Z,Walmsley Emma N,A,A,148.0,0.0,5431.0
88,MSFT,2021-11-29T00:00:00.000Z,WARRIOR PADMASREE,A,A,148.0,0.0,12194.0
89,MSFT,2021-11-29T00:00:00.000Z,SCHARF CHARLES W,A,A,148.0,0.0,42039.0
90,MSFT,2021-11-29T00:00:00.000Z,STANTON JOHN W,A,A,148.0,0.0,76052.0
91,MSFT,2021-11-29T00:00:00.000Z,Johnston Hugh F,A,A,148.0,0.0,5996.0
92,MSFT,2021-11-23T00:00:00.000Z,Nadella Satya,D,S,19569.0,338.041,838491.0
93,MSFT,2021-11-23T00:00:00.000Z,Nadella Satya,D,S,90075.0,337.1503,858060.0
94,MSFT,2021-11-23T00:00:00.000Z,Nadella Satya,D,S,107917.0,336.1191,948135.0
95,MSFT,2021-11-23T00:00:00.000Z,Nadella Satya,D,S,135450.0,335.1057,1056052.0
96,MSFT,2021-11-23T00:00:00.000Z,Nadella Satya,D,S,58581.0,334.3696,1191502.0
97,MSFT,2021-11-23T00:00:00.000Z,Nadella Satya,D,S,7700.0,338.9869,830791.0
98,MSFT,2021-11-22T00:00:00.000Z,Nadella Satya,D,S,17160.0,349.2243,1250083.0
99,MSFT,2021-11-22T00:00:00.000Z,Nadella Satya,D,S,22483.0,340.1752,1646892.0
100,MSFT,2021-11-22T00:00:00.000Z,Nadella Satya,D,S,13558.0,341.4757,1633334.0
101,MSFT,2021-11-22T00:00:00.000Z,Nadella Satya,D,S,78387.0,342.3622,1554947.0
102,MSFT,2021-11-22T00:00:00.000Z,Nadella Satya,D,S,110677.0,343.3285,1444270.0
103,MSFT,2021-11-22T00:00:00.000Z,Nadella Satya,D,S,10847.0,344.3051,1433423.0
